iso3,timestamp,psychology_trust,psychology_fear,psychology_optimism,psychology_nationalism,psychology_social_cohesion,psychology_confidence,society_education,society_urbanization,society_population,society_age,society_religion,society_healthcare,society_migration
AGO,1998-06-01,7.37,82.96,46.23,28.42,6.51,6.21,16.55,4.99,73.72,6.65,19.1,24.86,99.94
AGO,1998-07-01,7.75,82.62,45.46,28.73,6.47,6.39,16.58,5.01,73.7,6.72,19.21,25.14,99.95
AGO,1998-08-01,7.66,82.71,46.48,28.35,6.4,6.1,16.58,4.99,73.72,6.59,19.2,25.33,100.0
AGO,1998-09-01,7.57,83.02,45.47,28.46,6.25,5.99,16.63,4.97,73.83,6.69,19.18,25.56,100.0
AGO,1998-10-01,8.1,82.99,46.11,28.45,6.34,6.17,16.65,4.99,73.81,6.74,19.17,25.75,99.99
AGO,1998-11-01,8.25,82.65,46.02,28.33,6.7,6.49,16.72,4.98,73.79,6.6,19.16,26.11,99.97
AGO,1998-12-01,7.43,82.71,46.03,28.36,6.55,5.63,16.77,5.0,73.82,6.66,19.15,26.28,99.96
AGO,1999-01-01,7.6,83.09,45.75,28.21,6.04,6.16,16.65,5.08,73.84,6.59,19.15,26.57,99.87
AGO,1999-02-01,7.91,82.77,46.0,28.55,6.5,6.1,16.81,5.03,73.79,6.66,19.17,26.58,99.97
AGO,1999-03-01,7.42,82.67,46.06,28.35,6.45,6.06,16.79,5.11,73.85,6.68,19.12,26.87,100.0
AGO,1999-04-01,8.01,82.37,45.78,27.99,5.84,6.74,16.72,4.94,73.94,6.64,19.18,26.89,100.0
AGO,1999-05-01,7.34,82.91,45.88,28.47,6.47,6.53,16.8,4.93,73.9,6.64,19.09,27.11,99.94
AGO,1999-06-01,7.77,82.53,45.9,28.39,6.56,6.14,16.91,4.98,73.92,6.68,19.14,27.36,99.99
AGO,1999-07-01,7.6,82.93,45.94,28.79,6.05,6.43,16.89,4.92,73.91,6.58,19.23,27.44,100.0
AGO,1999-08-01,7.81,82.98,45.45,28.45,6.28,5.9,16.94,5.01,73.88,6.62,19.16,27.59,100.0
AGO,1999-09-01,7.76,82.51,45.58,28.59,6.15,6.12,17.05,4.97,73.83,6.51,19.14,27.75,100.0
AGO,1999-10-01,8.2,82.61,46.09,28.3,6.65,6.14,16.99,5.07,73.94,6.59,19.14,27.94,99.98
AGO,1999-11-01,7.89,82.56,45.76,28.61,5.98,6.1,17.02,4.97,74.01,6.71,19.1,28.12,99.89
AGO,1999-12-01,7.92,82.56,45.92,28.63,6.1,6.42,16.97,5.0,74.01,6.65,19.15,28.16,100.0
AGO,2000-01-01,7.52,82.28,45.82,28.28,6.22,6.27,17.01,5.03,73.98,6.65,19.11,28.46,100.0
AGO,2000-02-01,7.38,82.87,46.13,28.67,6.33,6.39,17.2,4.99,74.0,6.69,19.21,28.43,100.0
AGO,2000-03-01,7.76,83.26,46.04,28.37,6.03,6.56,17.18,4.98,73.97,6.63,19.21,28.62,100.0
AGO,2000-04-01,7.37,82.81,46.19,28.23,6.43,6.08,17.22,5.0,73.96,6.74,19.34,28.76,99.93
AGO,2000-05-01,7.54,82.78,46.9,28.99,6.38,6.2,17.15,5.02,73.97,6.59,19.24,28.81,100.0
AGO,2000-06-01,7.51,82.66,46.3,28.53,6.28,6.12,17.28,4.98,73.98,6.72,19.26,29.0,99.99
AGO,2000-07-01,7.81,82.78,46.11,28.08,6.12,6.13,17.24,4.91,74.07,6.56,19.21,29.1,99.98
AGO,2000-08-01,7.66,82.75,46.41,28.39,5.73,5.85,17.32,5.05,73.9,6.62,19.19,29.16,100.0
AGO,2000-09-01,8.07,82.7,46.37,28.64,6.19,5.98,17.36,4.89,73.9,6.69,19.19,29.34,99.92
AGO,2000-10-01,7.66,82.44,46.99,28.52,6.07,6.41,17.38,5.0,74.03,6.7,19.22,29.47,100.0
AGO,2000-11-01,8.34,82.61,47.15,28.24,6.12,5.99,17.44,5.0,73.95,6.49,19.16,29.72,99.99
AGO,2000-12-01,7.53,82.8,47.05,28.32,5.6,6.43,17.55,4.96,74.04,6.67,19.15,29.8,100.0
AGO,2001-01-01,8.04,82.51,47.33,28.56,5.72,6.04,17.51,5.0,73.94,6.63,19.17,29.86,100.0
AGO,2001-02-01,7.74,82.92,48.52,28.01,5.86,6.26,17.54,5.08,73.96,6.53,19.15,30.0,99.93
AGO,2001-03-01,7.34,82.73,48.91,28.39,5.43,5.85,17.59,5.04,74.03,6.56,19.18,30.33,100.0
AGO,2001-04-01,8.03,83.2,49.88,28.25,5.66,5.99,17.56,5.0,74.04,6.52,19.18,30.53,99.99
AGO,2001-05-01,7.87,83.4,51.4,28.37,5.62,5.6,17.62,5.01,74.06,6.61,19.18,30.55,99.98
AGO,2001-06-01,7.62,83.42,52.11,28.11,5.6,5.74,17.7,4.95,74.02,6.54,19.14,30.86,100.0
AGO,2001-07-01,8.16,83.46,53.08,28.02,5.63,5.9,17.69,4.98,73.89,6.66,19.09,31.07,99.95
AGO,2001-08-01,7.58,83.2,53.8,28.48,5.82,5.47,17.77,4.97,73.98,6.58,19.13,31.23,100.0
AGO,2001-09-01,7.89,83.84,54.65,28.24,6.0,5.24,17.81,5.02,74.0,6.52,19.22,31.38,100.0
AGO,2001-10-01,8.27,83.61,55.44,28.17,6.02,5.48,17.87,5.05,73.99,6.59,19.22,31.58,99.99
AGO,2001-11-01,7.72,84.04,56.2,28.59,5.4,5.32,17.83,4.99,74.01,6.57,19.14,31.83,100.0
AGO,2001-12-01,8.25,83.99,57.27,28.9,5.85,4.87,17.85,4.97,73.95,6.65,19.17,32.01,100.0
AGO,2002-01-01,7.86,83.62,58.33,28.26,5.52,5.08,17.89,4.92,73.98,6.54,19.26,32.05,100.0
AGO,2002-02-01,8.03,83.17,58.33,28.5,5.92,5.37,18.04,4.97,73.92,6.59,19.26,32.32,99.99
AGO,2002-03-01,8.11,81.68,58.97,28.45,6.05,5.04,17.93,5.01,73.98,6.54,19.25,32.38,99.82
AGO,2002-04-01,7.57,79.76,58.8,28.12,6.01,5.41,17.98,5.01,74.0,6.6,19.09,32.54,100.0
AGO,2002-05-01,7.96,78.79,58.88,28.58,5.85,4.94,18.1,5.05,73.94,6.57,19.13,32.64,100.0
AGO,2002-06-01,7.64,77.55,59.25,28.47,5.69,5.23,18.08,4.99,73.95,6.56,19.25,32.69,100.0
AGO,2002-07-01,8.33,76.01,59.55,28.43,6.3,4.73,18.11,5.07,74.04,6.64,19.23,32.79,100.0
AGO,2002-08-01,8.27,75.06,59.53,28.63,5.9,4.95,18.16,5.01,73.94,6.56,19.16,32.94,99.91
AGO,2002-09-01,8.05,73.58,59.97,28.26,5.81,4.89,18.18,4.94,74.01,6.64,19.21,33.09,100.0
AGO,2002-10-01,8.1,72.22,60.23,28.54,6.15,5.19,18.23,4.98,74.0,6.5,19.2,33.27,99.98
AGO,2002-11-01,7.84,70.68,60.6,28.8,5.77,5.12,18.21,5.07,74.01,6.53,19.12,33.35,100.0
AGO,2002-12-01,8.63,69.67,60.63,28.61,6.02,5.59,18.33,5.04,73.97,6.63,19.16,33.34,99.9
AGO,2003-01-01,8.33,68.36,61.6,28.7,6.2,5.41,18.3,5.0,74.04,6.67,19.17,33.58,100.0
AGO,2003-02-01,7.98,68.27,61.53,28.84,6.3,4.92,18.38,4.99,74.06,6.58,19.19,33.58,99.04
AGO,2003-03-01,8.41,67.65,61.08,28.57,5.88,5.05,18.4,4.92,74.04,6.54,19.1,33.74,98.07
AGO,2003-04-01,8.08,67.81,61.34,28.42,6.5,5.16,18.38,5.01,73.94,6.5,19.16,33.72,97.06
AGO,2003-05-01,8.65,66.75,61.42,28.0,6.13,5.51,18.56,5.0,73.96,6.49,19.17,33.83,96.03
AGO,2003-06-01,8.51,67.03,61.34,28.44,5.93,5.64,18.59,5.07,73.92,6.57,19.21,33.97,95.08
AGO,2003-07-01,8.22,65.98,61.43,28.3,6.04,5.22,18.49,5.03,73.89,6.48,19.21,34.04,94.16
AGO,2003-08-01,8.71,65.94,61.2,28.66,6.5,4.77,18.58,4.98,73.94,6.47,19.19,34.25,93.22
AGO,2003-09-01,8.32,65.65,61.03,28.42,6.34,5.31,18.7,4.96,74.0,6.52,19.12,34.21,92.19
AGO,2003-10-01,8.51,65.33,61.02,28.8,6.11,4.57,18.58,4.99,73.95,6.44,19.12,34.21,91.28
AGO,2003-11-01,8.78,65.43,61.27,28.73,6.0,5.66,18.61,5.08,73.98,6.45,19.18,34.25,90.2
AGO,2003-12-01,8.59,65.09,60.89,28.04,5.72,5.55,18.73,4.91,73.91,6.56,19.21,34.49,89.27
AGO,2004-01-01,8.68,64.26,61.36,28.26,6.49,5.21,18.75,5.08,74.0,6.57,19.16,34.57,88.29
AGO,2004-02-01,8.39,64.29,60.7,28.11,6.04,4.65,18.73,5.03,73.95,6.53,19.19,34.62,85.09
AGO,2004-03-01,8.5,64.02,60.89,28.5,6.55,5.29,18.86,4.96,74.02,6.4,19.18,34.85,81.99
AGO,2004-04-01,8.48,63.7,60.7,28.04,6.37,5.31,18.92,5.05,74.01,6.52,19.22,34.92,78.87
AGO,2004-05-01,8.44,63.08,61.15,28.5,5.7,5.35,18.99,5.02,73.88,6.63,19.23,35.03,75.84
AGO,2004-06-01,8.33,62.41,61.03,28.57,5.98,5.32,18.93,5.04,74.01,6.48,19.27,35.26,72.68
AGO,2004-07-01,8.01,62.55,60.81,28.47,6.38,5.25,18.93,5.01,74.0,6.43,19.11,35.33,69.58
AGO,2004-08-01,8.36,62.03,61.12,28.45,5.92,4.83,19.05,5.09,73.95,6.49,19.15,35.56,66.47
AGO,2004-09-01,8.71,61.91,60.93,28.34,6.04,5.09,18.98,4.98,74.04,6.45,19.07,35.72,63.39
AGO,2004-10-01,8.78,61.66,61.13,28.65,6.54,4.57,19.02,4.97,74.07,6.48,19.21,35.86,60.18
AGO,2004-11-01,9.09,61.07,60.85,28.22,6.4,4.96,19.02,5.05,74.05,6.53,19.23,35.99,56.99
AGO,2004-12-01,8.76,60.7,60.8,28.79,6.52,5.55,19.14,5.03,73.89,6.47,19.16,36.17,53.97
AGO,2005-01-01,8.81,60.55,61.02,28.5,6.09,4.84,19.16,5.03,74.01,6.4,19.18,36.39,50.82
AGO,2005-02-01,8.69,60.72,61.19,28.45,6.08,4.86,19.2,4.99,74.07,6.39,19.23,36.47,49.44
AGO,2005-03-01,8.77,60.2,61.2,29.22,6.14,5.16,19.25,5.06,74.0,6.46,19.17,36.54,47.91
AGO,2005-04-01,8.72,60.71,61.39,28.15,6.03,5.34,19.25,4.98,73.93,6.49,19.15,36.65,46.51
AGO,2005-05-01,8.69,60.64,61.05,27.81,6.0,5.3,19.39,4.99,74.0,6.41,19.13,36.75,44.91
AGO,2005-06-01,8.7,60.0,60.99,28.49,6.24,5.1,19.36,4.95,74.03,6.4,19.23,36.92,43.63
AGO,2005-07-01,8.61,60.63,61.25,28.41,6.08,5.33,19.38,4.98,73.94,6.45,19.19,37.08,42.06
AGO,2005-08-01,8.89,60.13,61.56,28.22,5.87,5.55,19.4,4.97,73.98,6.45,19.27,37.12,40.52
AGO,2005-09-01,8.74,60.41,61.32,28.56,6.25,4.8,19.45,5.03,73.95,6.44,19.11,37.22,39.18
AGO,2005-10-01,8.42,60.36,61.4,28.48,5.85,5.2,19.47,5.08,73.98,6.51,19.14,37.32,37.68
AGO,2005-11-01,8.54,60.52,61.28,28.72,5.52,5.15,19.57,4.98,73.99,6.45,19.18,37.41,36.14
AGO,2005-12-01,8.9,60.79,61.42,28.4,5.86,5.21,19.6,4.97,73.99,6.38,19.16,37.57,34.72
AGO,2006-01-01,8.36,60.52,61.31,28.78,5.84,5.23,19.7,5.11,74.02,6.32,19.16,37.67,33.31
AGO,2006-02-01,8.4,60.76,61.19,28.42,6.06,5.13,19.6,4.94,73.99,6.42,19.15,37.91,33.12
AGO,2006-03-01,8.63,60.16,61.03,28.4,6.05,5.32,19.72,5.09,73.95,6.45,19.15,38.06,33.02
AGO,2006-04-01,8.48,59.64,60.86,28.92,5.8,5.55,19.7,5.14,73.93,6.42,19.13,38.22,32.78
AGO,2006-05-01,8.15,59.06,61.68,29.02,6.15,5.3,19.81,4.96,74.03,6.41,19.11,38.45,32.62
AGO,2006-06-01,8.6,59.16,60.66,28.13,5.89,5.59,19.78,4.94,73.9,6.36,19.19,38.66,32.41
AGO,2006-07-01,8.64,58.55,61.06,29.32,6.1,5.19,19.78,5.04,74.0,6.34,19.13,38.79,32.44
AGO,2006-08-01,8.41,58.5,60.75,28.71,6.55,5.74,19.83,4.92,74.04,6.42,19.17,38.99,32.19
AGO,2006-09-01,8.71,58.09,60.97,28.38,6.02,5.34,19.91,4.99,74.05,6.39,19.19,39.15,32.04
AGO,2006-10-01,9.04,58.02,61.36,28.29,6.12,5.12,19.9,4.98,74.0,6.41,19.11,39.38,31.82
AGO,2006-11-01,8.88,58.13,61.16,28.52,5.9,4.99,19.94,4.95,73.98,6.42,19.14,39.54,31.75
AGO,2006-12-01,8.9,57.42,61.38,28.16,5.94,5.21,20.07,4.98,74.06,6.3,19.21,39.75,31.6
AGO,2007-01-01,8.33,56.98,61.45,28.47,5.94,4.9,20.04,5.02,73.98,6.37,19.24,39.97,31.36
AGO,2007-02-01,9.42,56.42,61.5,28.55,5.97,5.56,20.08,5.1,73.92,6.29,19.18,40.1,31.42
AGO,2007-03-01,8.93,56.93,62.39,28.64,5.84,5.42,20.05,4.96,73.98,6.4,18.98,40.18,31.46
AGO,2007-04-01,8.84,57.3,62.92,28.56,6.15,5.15,20.08,5.04,74.01,6.3,19.05,40.33,31.44
AGO,2007-05-01,8.81,56.64,62.71,28.35,5.97,5.2,20.16,5.03,73.95,6.25,19.08,40.36,31.51
AGO,2007-06-01,8.52,56.91,63.35,28.55,6.32,5.11,20.19,4.99,74.03,6.34,18.94,40.66,31.58
AGO,2007-07-01,8.52,57.33,64.16,28.87,5.77,5.78,20.28,4.99,74.08,6.32,18.82,40.74,31.51
AGO,2007-08-01,9.06,57.51,64.99,28.31,6.85,5.28,20.31,5.02,73.97,6.32,18.81,40.9,31.7
AGO,2007-09-01,9.21,57.13,65.38,28.52,6.18,5.5,20.25,5.02,73.93,6.35,18.77,41.03,31.61
AGO,2007-10-01,9.29,57.22,65.58,28.78,6.68,5.39,20.34,5.04,73.91,6.3,18.72,41.18,31.66
AGO,2007-11-01,9.34,56.67,66.09,27.96,6.22,5.71,20.45,4.99,73.99,6.27,18.68,41.45,31.75
AGO,2007-12-01,9.1,56.93,66.58,28.24,6.58,5.54,20.38,4.96,74.08,6.32,18.66,41.42,31.7
AGO,2008-01-01,8.64,56.96,67.32,28.66,6.6,5.9,20.5,5.01,73.96,6.33,18.63,41.63,31.71
AGO,2008-02-01,9.45,57.21,67.04,29.06,6.41,5.73,20.56,5.11,74.04,6.36,18.56,41.84,31.96
AGO,2008-03-01,9.64,57.01,67.41,28.23,6.75,5.59,20.47,4.98,73.97,6.31,18.68,41.95,32.06
AGO,2008-04-01,9.29,56.93,67.76,28.4,6.72,5.99,20.5,4.91,74.03,6.35,18.58,42.11,32.38
AGO,2008-05-01,9.45,57.48,67.39,28.8,6.64,5.49,20.53,5.06,74.07,6.34,18.66,42.31,32.53
AGO,2008-06-01,9.28,56.86,67.77,28.49,6.84,5.58,20.62,5.04,73.9,6.22,18.6,42.33,32.71
AGO,2008-07-01,9.76,56.75,67.44,28.94,6.66,5.63,20.68,5.03,73.92,6.29,18.6,42.49,32.92
AGO,2008-08-01,9.72,57.06,67.45,28.31,7.02,5.27,20.67,5.08,73.93,6.32,18.62,42.56,33.15
AGO,2008-09-01,9.72,57.13,67.09,27.93,6.9,5.67,20.73,5.03,73.94,6.3,18.57,42.76,33.28
AGO,2008-10-01,9.71,56.91,67.77,27.99,6.96,5.63,20.75,4.93,73.99,6.33,18.63,42.86,33.52
AGO,2008-11-01,9.87,56.96,67.6,28.28,6.85,5.91,20.86,5.01,73.88,6.34,18.58,43.1,33.63
AGO,2008-12-01,9.48,56.7,67.27,28.19,7.02,5.78,20.71,4.95,73.87,6.21,18.56,43.11,33.95
AGO,2009-01-01,9.96,56.87,67.69,28.61,7.62,6.32,20.81,5.03,73.96,6.26,18.59,43.37,34.01
AGO,2009-02-01,10.19,57.17,67.91,28.55,6.72,5.85,20.91,4.95,73.94,6.24,18.65,43.37,33.88
AGO,2009-03-01,9.97,56.94,68.21,28.83,7.46,6.15,20.95,4.96,74.03,6.22,18.51,43.56,33.92
AGO,2009-04-01,9.8,57.04,67.81,28.22,7.32,6.01,20.97,5.1,73.95,6.24,18.65,43.73,33.81
AGO,2009-05-01,10.05,57.25,67.99,28.43,7.29,6.0,21.01,4.96,74.0,6.24,18.63,43.74,33.86
AGO,2009-06-01,10.1,57.04,68.37,28.75,7.19,5.69,21.11,4.98,73.95,6.23,18.49,43.97,33.71
AGO,2009-07-01,9.69,56.57,68.09,28.66,7.25,5.5,21.12,5.02,74.1,6.31,18.59,44.18,33.74
AGO,2009-08-01,10.03,57.26,68.56,28.45,7.4,5.87,21.11,4.91,73.91,6.23,18.72,44.22,33.63
AGO,2009-09-01,10.11,57.68,68.55,28.64,7.12,5.63,21.17,4.99,73.98,6.18,18.57,44.34,33.72
AGO,2009-10-01,9.64,57.04,69.05,28.23,6.9,5.88,21.19,4.97,74.06,6.12,18.75,44.46,33.57
AGO,2009-11-01,10.1,57.12,69.16,28.14,7.23,6.22,21.18,5.01,73.99,6.18,18.57,44.68,33.45
AGO,2009-12-01,9.73,57.11,68.89,28.53,7.36,5.9,21.31,4.9,73.98,6.24,18.59,44.85,33.4
AGO,2010-01-01,9.86,57.39,69.35,28.24,7.79,6.58,21.3,5.0,73.98,6.22,18.57,44.94,33.36
AGO,2010-02-01,10.1,56.82,68.75,28.63,7.99,5.54,21.25,4.95,74.0,6.11,18.56,44.98,33.38
AGO,2010-03-01,10.03,56.76,69.01,27.97,7.56,6.4,21.25,5.0,74.03,6.21,18.56,45.13,33.42
AGO,2010-04-01,10.65,56.53,69.14,28.04,7.75,6.29,21.29,5.11,74.0,6.14,18.63,45.25,33.39
AGO,2010-05-01,10.85,57.39,68.96,28.31,8.28,5.94,21.33,4.96,73.95,6.14,18.64,45.45,33.4
AGO,2010-06-01,10.64,56.9,69.06,28.68,8.02,6.96,21.21,5.03,73.99,6.17,18.53,45.47,33.36
AGO,2010-07-01,10.86,56.9,69.04,28.68,8.34,6.98,21.38,5.03,73.91,6.12,18.6,45.7,33.33
AGO,2010-08-01,11.18,56.76,69.44,28.58,8.84,7.04,21.31,5.0,74.02,6.23,18.55,45.79,33.27
AGO,2010-09-01,11.34,57.24,69.25,28.81,8.81,7.35,21.3,5.03,73.92,6.18,18.64,45.82,33.4
AGO,2010-10-01,11.82,57.1,68.9,29.01,9.04,7.65,21.24,5.02,74.08,6.06,18.61,45.92,33.43
AGO,2010-11-01,11.87,56.9,69.25,28.6,9.62,7.67,21.26,5.04,73.93,6.15,18.64,46.09,33.34
AGO,2010-12-01,11.74,57.41,69.32,28.19,8.86,7.89,21.31,5.02,73.89,6.2,18.74,46.12,33.36
AGO,2011-01-01,12.28,57.25,69.05,28.37,9.5,7.69,21.27,4.97,73.96,6.09,18.58,46.23,33.27
AGO,2011-02-01,12.23,56.74,69.2,28.08,9.36,8.14,21.37,5.1,73.96,6.18,18.66,46.33,33.4
AGO,2011-03-01,12.05,57.5,69.17,28.6,9.77,8.42,21.32,4.95,73.88,6.12,18.51,46.52,33.36
AGO,2011-04-01,11.93,57.18,69.0,28.35,9.55,7.81,21.31,5.03,73.98,6.07,18.64,46.71,33.42
AGO,2011-05-01,12.66,57.45,68.77,28.05,10.11,8.03,21.29,4.95,73.94,6.05,18.64,46.86,33.31
AGO,2011-06-01,12.32,57.11,69.26,28.6,9.69,7.8,21.3,4.97,74.05,6.08,18.6,46.91,33.31
AGO,2011-07-01,11.95,57.12,68.77,28.7,9.12,7.98,21.29,5.04,73.94,6.08,18.59,46.94,33.28
AGO,2011-08-01,12.2,57.05,68.77,28.45,9.27,8.49,21.3,4.97,73.98,6.04,18.53,47.05,33.32
AGO,2011-09-01,11.56,57.15,68.85,28.78,9.33,8.13,21.26,5.0,73.89,6.16,18.57,47.2,33.35
AGO,2011-10-01,11.87,56.96,68.95,28.54,9.39,8.35,21.28,5.05,74.0,6.06,18.69,47.37,33.32
AGO,2011-11-01,11.81,57.27,69.14,28.32,9.32,8.16,21.37,5.09,73.91,6.07,18.62,47.47,33.38
AGO,2011-12-01,12.06,56.96,69.31,28.29,9.25,8.26,21.22,4.91,74.03,6.13,18.6,47.51,33.37
AGO,2012-01-01,12.4,56.98,68.46,28.49,9.65,7.88,21.33,4.97,73.97,6.09,18.64,47.66,33.34
AGO,2012-02-01,12.45,57.64,68.84,29.19,9.31,8.16,21.32,4.94,73.99,6.04,18.64,47.83,33.32
AGO,2012-03-01,12.26,57.23,69.11,29.72,8.97,8.15,21.3,5.11,73.99,6.03,18.62,47.92,33.32
AGO,2012-04-01,11.96,57.14,68.72,30.02,9.0,7.83,21.33,4.93,74.0,5.97,18.67,47.97,33.34
AGO,2012-05-01,12.27,56.6,68.81,30.82,9.67,7.55,21.37,5.01,74.03,6.01,18.59,48.11,33.36
AGO,2012-06-01,12.03,56.79,68.84,31.18,9.34,7.88,21.24,4.96,73.96,5.94,18.51,48.29,33.32
AGO,2012-07-01,11.91,57.05,69.07,31.44,9.47,7.74,21.36,5.04,73.99,5.94,18.63,48.44,33.33
AGO,2012-08-01,12.65,57.25,69.22,32.18,9.47,7.54,21.32,5.0,74.0,6.06,18.63,48.55,33.25
AGO,2012-09-01,12.48,57.73,68.59,32.71,9.59,7.28,21.32,4.99,73.92,6.05,18.64,48.69,33.29
AGO,2012-10-01,12.03,57.41,69.33,33.53,10.27,7.09,21.31,5.04,73.93,5.97,18.6,48.79,33.32
AGO,2012-11-01,12.0,57.54,68.99,34.31,9.6,6.66,21.32,4.96,74.0,5.93,18.6,48.86,33.3
AGO,2012-12-01,12.24,57.0,69.62,35.07,10.09,6.64,21.32,4.99,74.02,6.02,18.62,49.04,33.3
AGO,2013-01-01,12.41,57.36,69.34,35.7,10.29,6.56,21.28,5.07,73.92,6.0,18.51,49.14,33.39
AGO,2013-02-01,11.7,57.36,69.22,35.71,9.75,6.6,21.27,4.95,74.04,5.95,18.63,49.32,33.34
AGO,2013-03-01,12.06,57.7,69.44,35.61,9.96,6.93,21.29,5.0,73.89,5.99,18.55,49.53,33.37
